hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage,Num,food
McDonald's,4.5,27,"Burgers, Beverages, Cafe, Desserts","Kandivali East",75,30,1,Burgers
McDonald's,4.5,27,"Burgers, Beverages, Cafe, Desserts","Kandivali East",75,30,2," Beverages"
McDonald's,4.5,27,"Burgers, Beverages, Cafe, Desserts","Kandivali East",75,30,3," Cafe"
McDonald's,4.5,27,"Burgers, Beverages, Cafe, Desserts","Kandivali East",75,30,4," Desserts"
KFC,4.5,30,"Burgers, Biryani, American, Snacks, Fast Food","Kandivali East",80,40,1,Burgers
KFC,4.5,30,"Burgers, Biryani, American, Snacks, Fast Food","Kandivali East",80,40,2," Biryani"
KFC,4.5,30,"Burgers, Biryani, American, Snacks, Fast Food","Kandivali East",80,40,3," American"
KFC,4.5,30,"Burgers, Biryani, American, Snacks, Fast Food","Kandivali East",80,40,4," Snacks"
KFC,4.5,30,"Burgers, Biryani, American, Snacks, Fast Food","Kandivali East",80,40,5," Fast Food"
"Domino's Pizza",4.3,25,"Pizzas, Italian, Pastas, Desserts","Thakur Village",299,not_available,1,Pizzas
"Domino's Pizza",4.3,25,"Pizzas, Italian, Pastas, Desserts","Thakur Village",299,not_available,2," Italian"
"Domino's Pizza",4.3,25,"Pizzas, Italian, Pastas, Desserts","Thakur Village",299,not_available,3," Pastas"
"Domino's Pizza",4.3,25,"Pizzas, Italian, Pastas, Desserts","Thakur Village",299,not_available,4," Desserts"
"Charcoal Eats - Biryani & Beyond",4.3,24,"Biryani, Kebabs, Hyderabadi, North Indian","Kandivali East",100,50,1,Biryani
"Charcoal Eats - Biryani & Beyond",4.3,24,"Biryani, Kebabs, Hyderabadi, North Indian","Kandivali East",100,50,2," Kebabs"
"Charcoal Eats - Biryani & Beyond",4.3,24,"Biryani, Kebabs, Hyderabadi, North Indian","Kandivali East",100,50,3," Hyderabadi"
"Charcoal Eats - Biryani & Beyond",4.3,24,"Biryani, Kebabs, Hyderabadi, North Indian","Kandivali East",100,50,4," North Indian"
Sandwizzaa,4.5,22,"Snacks, Fast Food, Beverages, Jain","Kandivali East",120,60,1,Snacks
Sandwizzaa,4.5,22,"Snacks, Fast Food, Beverages, Jain","Kandivali East",120,60,2," Fast Food"
Sandwizzaa,4.5,22,"Snacks, Fast Food, Beverages, Jain","Kandivali East",120,60,3," Beverages"
Sandwizzaa,4.5,22,"Snacks, Fast Food, Beverages, Jain","Kandivali East",120,60,4," Jain"
"1441 Pizzeria",4.5,32,"Italian, Pizzas, Pastas","Kandivali East",120,60,1,Italian
"1441 Pizzeria",4.5,32,"Italian, Pizzas, Pastas","Kandivali East",120,60,2," Pizzas"
"1441 Pizzeria",4.5,32,"Italian, Pizzas, Pastas","Kandivali East",120,60,3," Pastas"
"Hangout Cakes & More",4.4,24,"Desserts, Bakery","Kandivali West",150,60,1,Desserts
"Hangout Cakes & More",4.4,24,"Desserts, Bakery","Kandivali West",150,60,2," Bakery"
"Love & Cheesecake ",4.5,14,Desserts,"Kandivali East",not_available,0,1,Desserts
"Nothing But Chicken",4.5,22,"Salads, Biryani, Kebabs, Fast Food, Healthy Food","Kandivali East",50,20,1,Salads
"Nothing But Chicken",4.5,22,"Salads, Biryani, Kebabs, Fast Food, Healthy Food","Kandivali East",50,20,2," Biryani"
"Nothing But Chicken",4.5,22,"Salads, Biryani, Kebabs, Fast Food, Healthy Food","Kandivali East",50,20,3," Kebabs"
"Nothing But Chicken",4.5,22,"Salads, Biryani, Kebabs, Fast Food, Healthy Food","Kandivali East",50,20,4," Fast Food"
"Nothing But Chicken",4.5,22,"Salads, Biryani, Kebabs, Fast Food, Healthy Food","Kandivali East",50,20,5," Healthy Food"
"Sweet Bengal",4.5,13,"Sweets, Indian, Snacks, Desserts","Kandivali East",50,20,1,Sweets
"Sweet Bengal",4.5,13,"Sweets, Indian, Snacks, Desserts","Kandivali East",50,20,2," Indian"
"Sweet Bengal",4.5,13,"Sweets, Indian, Snacks, Desserts","Kandivali East",50,20,3," Snacks"
"Sweet Bengal",4.5,13,"Sweets, Indian, Snacks, Desserts","Kandivali East",50,20,4," Desserts"
"Atta Girl",4.7,27,"South Indian","Kandivali West",not_available,0,1,"South Indian"
"NIC Ice Creams",4.5,17,"Ice Cream, Desserts","Kandivali East",149,not_available,1,"Ice Cream"
"NIC Ice Creams",4.5,17,"Ice Cream, Desserts","Kandivali East",149,not_available,2," Desserts"
"Poetry By Love & Cheesecake",4.4,34,Desserts,"Kandivali West",not_available,0,1,Desserts
"Havmor Havfunn Ice Cream",4.3,18,"Ice Cream, Ice Cream Cakes, Desserts, Beverages","Kandivali East",not_available,0,1,"Ice Cream"
